Date,Confirmed,,,,,,,,,,,,,,,,,,2/15/2020,2/16/2020,2/17/2020
3/11/2020,4,,,,,,,,,,,,,,,,,,,,
3/12/2020,6,,,,,,,,,,,,,,,,,,,,
3/12/2020,14,,,,,,,,,,,,,,,,,,,,
3/12/2020,17,,,,,,,,,,,,,,,,,,,,
3/12/2020,3,,,,,,,,,,,,,,,,,,,,
3/12/2020,1,,,,,,,,,,,,,,,,,,,,
3/12/2020,11,,,,,,,,,,,,,,,,,,,,
3/12/2020,3,,,,,,,,,,,,,,,,,,,,
3/12/2020,1,,,,,,,,,,,,,,,,,,,,
3/12/2020,1,,,,,,,,,,,,,,,,,,,,
3/12/2020,1,,,,,,,,,,,,,,,,,,,,
3/12/2020,4,,,,,,,,,,,,,,,,,,,,
3/12/2020,11,,,,,,,,,,,,,,,,,,,,
3/12/2020,1,,,,,,,,,,,,,,,,,,,,
3/13/2020,6,,,,,,,,,,,,,,,,,,,,
3/13/2020,14,,,,,,,,,,,,,,,,,,,,
3/13/2020,19,,,,,,,,,,,,,,,,,,,,
3/13/2020,3,,,,,,,,,,,,,,,,,,,,
3/13/2020,1,,,,,,,,,,,,,,,,,,,,
3/13/2020,11,,,,,,,,,,,,,,,,,,,,
3/13/2020,3,,,,,,,,,,,,,,,,,,,,
3/13/2020,1,,,,,,,,,,,,,,,,,,,,
3/13/2020,1,,,,,,,,,,,,,,,,,,,,
3/13/2020,1,,,,,,,,,,,,,,,,,,,,
3/13/2020,6,,,,,,,,,,,,,,,,,,,,
3/13/2020,14,,,,,,,,,,,,,,,,,,,,
3/13/2020,1,,,,,,,,,,,,,,,,,,,,
3/14/2020,7,,,,,,,,,,,,,,,,,,,,
3/14/2020,14,,,,,,,,,,,,,,,,,,,,
3/14/2020,19,,,,,,,,,,,,,,,,,,,,
3/14/2020,3,,,,,,,,,,,,,,,,,,,,
3/14/2020,1,,,,,,,,,,,,,,,,,,,,
3/14/2020,12,,,,,,,,,,,,,,,,,,,,
3/14/2020,3,,,,,,,,,,,,,,,,,,,,
3/14/2020,1,,,,,,,,,,,,,,,,,,,,
3/14/2020,2,,,,,,,,,,,,,,,,,,,,
3/14/2020,1,,,,,,,,,,,,,,,,,,,,
3/14/2020,6,,,,,,,,,,,,,,,,,,,,
3/14/2020,14,,,,,,,,,,,,,,,,,,,,
3/14/2020,1,,,,,,,,,,,,,,,,,,,,
3/15/2020,1,,,,,,,,,,,,,,,,,,,,
3/15/2020,7,,,,,,,,,,,,,,,,,,,,
3/15/2020,14,,,,,,,,,,,,,,,,,,,,
3/15/2020,6,,,,,,,,,,,,,,,,,,,,
3/15/2020,22,,,,,,,,,,,,,,,,,,,,
3/15/2020,32,,,,,,,,,,,,,,,,,,,,
3/15/2020,1,,,,,,,,,,,,,,,,,,,,
3/15/2020,4,,,,,,,,,,,,,,,,,,,,
3/15/2020,1,,,,,,,,,,,,,,,,,,,,
3/15/2020,3,,,,,,,,,,,,,,,,,,,,
3/15/2020,2,,,,,,,,,,,,,,,,,,,,
3/15/2020,3,,,,,,,,,,,,,,,,,,,,
3/15/2020,13,,,,,,,,,,,,,,,,,,,,
3/15/2020,1,,,,,,,,,,,,,,,,,,,,
3/16/2020,1,,,,,,,,,,,,,,,,,,,,
3/16/2020,7,,,,,,,,,,,,,,,,,,,,
3/16/2020,14,,,,,,,,,,,,,,,,,,,,
3/16/2020,6,,,,,,,,,,,,,,,,,,,,
3/16/2020,23,,,,,,,,,,,,,,,,,,,,
3/16/2020,32,,,,,,,,,,,,,,,,,,,,
3/16/2020,1,,,,,,,,,,,,,,,,,,,,
3/16/2020,1,,,,,,,,,,,,,,,,,,,,
3/16/2020,4,,,,,,,,,,,,,,,,,,,,
3/16/2020,1,,,,,,,,,,,,,,,,,,,,
3/16/2020,3,,,,,,,,,,,,,,,,,,,,
3/16/2020,3,,,,,,,,,,,,,,,,,,,,
3/16/2020,4,,,,,,,,,,,,,,,,,,,,
3/16/2020,13,,,,,,,,,,,,,,,,,,,,
3/16/2020,1,,,,,,,,,,,,,,,,,,,,
3/17/2020,1,,,,,,,,,,,,,,,,,,,,
3/17/2020,8,,,,,,,,,,,,,,,,,,,,
3/17/2020,15,,,,,,,,,,,,,,,,,,,,
3/17/2020,11,,,,,,,,,,,,,,,,,,,,
3/17/2020,26,,,,,,,,,,,,,,,,,,,,
3/17/2020,39,,,,,,,,,,,,,,,,,,,,
3/17/2020,1,,,,,,,,,,,,,,,,,,,,
3/17/2020,1,,,,,,,,,,,,,,,,,,,,
3/17/2020,4,,,,,,,,,,,,,,,,,,,,
3/17/2020,1,,,,,,,,,,,,,,,,,,,,
3/17/2020,5,,,,,,,,,,,,,,,,,,,,
3/17/2020,3,,,,,,,,,,,,,,,,,,,,
3/17/2020,6,,,,,,,,,,,,,,,,,,,,
3/17/2020,15,,,,,,,,,,,,,,,,,,,,
3/17/2020,1,,,,,,,,,,,,,,,,,,,,
3/18/2020,1,,,,,,,,,,,,,,,,,,,,
3/18/2020,10,,,,,,,,,,,,,,,,,,,,
3/18/2020,17,,,,,,,,,,,,,,,,,,,,
3/18/2020,11,,,,,,,,,,,,,,,,,,,,
3/18/2020,27,,,,,,,,,,,,,,,,,,,,
3/18/2020,42,,,,,,,,,,,,,,,,,,,,
3/18/2020,1,,,,,,,,,,,,,,,,,,,,
3/18/2020,1,,,,,,,,,,,,,,,,,,,,
3/18/2020,1,,,,,,,,,,,,,,,,,,,,
3/18/2020,4,,,,,,,,,,,,,,,,,,,,
3/18/2020,1,,,,,,,,,,,,,,,,,,,,
3/18/2020,6,,,,,,,,,,,,,,,,,,,,
3/18/2020,3,,,,,,,,,,,,,,,,,,,,
3/18/2020,8,,,,,,,,,,,,,,,,,,,,
3/18/2020,16,,,,,,,,,,,,,,,,,,,,
3/18/2020,1,,,,,,,,,,,,,,,,,,,,
3/18/2020,1,,,,,,,,,,,,,,,,,,,,
3/19/2020,2,,,,,,,,,,,,,,,,,,,,
3/19/2020,1,,,,,,,,,,,,,,,,,,,,
3/19/2020,12,,,,,,,,,,,,,,,,,,,,
3/19/2020,17,,,,,,,,,,,,,,,,,,,,
3/19/2020,14,,,,,,,,,,,,,,,,,,,,
3/19/2020,27,,,,,,,,,,,,,,,,,,,,
3/19/2020,47,,,,,,,,,,,,,,,,,,,,
3/19/2020,1,,,,,,,,,,,,,,,,,,,,
3/19/2020,1,,,,,,,,,,,,,,,,,,,,
3/19/2020,2,,,,,,,,,,,,,,,,,,,,
3/19/2020,7,,,,,,,,,,,,,,,,,,,,
3/19/2020,2,,,,,,,,,,,,,,,,,,,,
3/19/2020,6,,,,,,,,,,,,,,,,,,,,
3/19/2020,1,,,,,,,,,,,,,,,,,,,,
3/19/2020,4,,,,,,,,,,,,,,,,,,,,
3/19/2020,8,,,,,,,,,,,,,,,,,,,,
3/19/2020,19,,,,,,,,,,,,,,,,,,,,
3/19/2020,1,,,,,,,,,,,,,,,,,,,,
3/19/2020,1,,,,,,,,,,,,,,,,,,,,
3/20/2020,3,,,,,,,,,,,,,,,,,,,,
3/20/2020,1,,,,,,,,,,,,,,,,,,,,
3/20/2020,17,,,,,,,,,,,,,,,,,,,,
3/20/2020,5,,,,,,,,,,,,,,,,,,,,
3/20/2020,17,,,,,,,,,,,,,,,,,,,,
3/20/2020,15,,,,,,,,,,,,,,,,,,,,
3/20/2020,28,,,,,,,,,,,,,,,,,,,,
3/20/2020,52,,,,,,,,,,,,,,,,,,,,
3/20/2020,2,,,,,,,,,,,,,,,,,,,,
3/20/2020,1,,,,,,,,,,,,,,,,,,,,
3/20/2020,2,,,,,,,,,,,,,,,,,,,,
3/20/2020,17,,,,,,,,,,,,,,,,,,,,
3/20/2020,3,,,,,,,,,,,,,,,,,,,,
3/20/2020,17,,,,,,,,,,,,,,,,,,,,
